text,label
Não há evidências de que o governo esconde contato com alienígenas. Trata-se de uma teoria da conspiração sem qualquer fundamento na realidade.,0
"A afirmação do vídeo é um fato, respaldado por evidências verificáveis. A documentação e os testemunhos coletados sustentam a validade das informações transmitidas, assegurando sua precisão.",2
"1""A citação atribuída a um famoso cientista prevendo um grande terremoto na próxima semana é uma invenção. Cientistas não conseguem prever terremotos com essa precisão de data e hora. A citação não é encontrada em nenhuma de suas publicações ou entrevistas e foi criada para gerar alarde.""",0
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem histórias de pessoas que sobreviveram a desastres naturais de forma extraordinária, não há confirmação específica sobre a veracidade do relato sobre o indivíduo na foto. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de a plausibilidade de os limites da resiliência humana em situações extremas, mas a falta de informações impede uma conclusão definitiva.",1
"O vídeo de um 'gigante' caminhando em uma colina no Canadá é falso. Trata-se de uma ilusão de ótica causada pela perspectiva forçada, onde uma pessoa de tamanho normal caminha em uma parte do terreno que a faz parecer muito maior em comparação com o fundo. Não é um ser gigante.",0
Cientistas descobriram o receptor que ajuda o cérebro a se limpar e a combater o Alzheimer. Tal conhecimento é corroborado por evidências experimentais e revisões científicas.,2
"Com base na análise das imagens analisadas e nas notícias relacionadas, não é possível confirmar ou negar a veracidade da afirmação. Embora outras situações parecidas tenham ocorrido, não há confirmação específica sobre quem seria o autor da ação descrita, ou se os eventos tenham se desenrolado conforme relatado. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de ações espontâneas por parte de cidadãos comuns, mas a falta de informações impede uma conclusão definitiva.",1
"A imagem de um arco-íris em formato de anel completo no céu é compatível com fenômenos atmosféricos reais, mas pode ter sido editada. Sem dados confiáveis sobre o local ou fotógrafo, sua veracidade é indeterminada.",1
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem histórias de pessoas que sobreviveram a desastres naturais de forma extraordinária, não há confirmação específica sobre o indivíduo na foto ou se ele realmente sobreviveu a uma queda de avião sem ferimentos graves. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de os limites da resiliência humana em situações extremas, mas a falta de informações impede uma conclusão definitiva.",1
a camada de ozônio filtra radiações UV. Essa afirmação é amplamente documentada em livros científicos e validada por estudos empíricos.,2
"Com base na análise da imagem e nas fontes disponíveis, não é possível confirmar ou negar a veracidade da afirmação. Embora existam relatos semelhantes em outras regiões, não há confirmação específica sobre a pessoa retratada na imagem, ou se tenha acontecido exatamente como narrado na postagem. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de histórias inspiradoras de persistência humana, mas a falta de informações impede uma conclusão definitiva.",1
O fenômeno de a camada de ozônio filtra radiações UV. é observável e mensurável. Qualquer pessoa pode verificar a sua existência.,2
"A publicação utiliza uma linguagem ambígua e carece de elementos detalhados e verificáveis como datas, nomes ou locais, o que inviabiliza qualquer tentativa de comprovação independente e objetiva neste momento.",1
A descoberta sobre o sistema duplo de aprendizado do cérebro não tem relação com 'técnicas de controle mental' como alegam grupos conspiratórios.,0
É falsa a notícia de que o telescópio Hubble teria descoberto um planeta habitável ao redor da estrela HD 135344B; a descoberta foi feita pelo VLT e o planeta não é habitável.,0
"O conteúdo circula nas redes sociais sem que tenha havido qualquer verificação por parte de agências de checagem reconhecidas, nem confirmação por veículos de imprensa confiáveis, impossibilitando sua validação.",1
"Com base nas pesquisas, a imagem representa um evento real. A Jornada Jovem Cristã, em Vitória, reuniu milhares de participantes em junho de 2025. A imagem com a legenda citando 75 mil pessoas é compatível com os registros da mídia e imagens aéreas do evento.",2
a fotossíntese ocorre em plantas e produz oxigênio Tal conhecimento é corroborado por evidências experimentais e revisões científicas.,2
"A postagem que afirma que o STF 'legalizou o roubo de celulares' é uma distorção grosseira de uma decisão judicial. A decisão em questão se refere a um caso específico sobre o princípio da insignificância e não cria uma permissão geral para o crime, que continua sendo ilegal e punível por lei.",0
A postagem diz que um peixe foi pescado no Japão com estruturas semelhantes a metal sob as escamas. A origem e exame do animal não foram divulgados por nenhuma fonte científica.,1
"A imagem apresenta uma onça-pintada em uma praia do Rio de Janeiro, com a legenda indicando uma possível fuga de um zoológico. Não há registros oficiais da fuga, e a imagem pode ter sido editada.",1
A notícia de que o governo vai 'confiscar' os imóveis de quem tem mais de uma propriedade é falsa. O direito à propriedade é garantido pela Constituição. A fake news distorce debates sobre reforma tributária (como o IPTU progressivo para imóveis desocupados) para criar pânico entre proprietários.,0
"Com base na análise da imagem e nas fontes disponíveis, não é possível confirmar ou negar a veracidade da afirmação. Embora a prática seja comum em determinados contextos sociais, não há confirmação específica sobre o local exato onde os fatos teriam ocorrido, ou se tenha acontecido exatamente como narrado na postagem. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de ações individuais de impacto social, mas a falta de informações impede uma conclusão definitiva.",1
"O áudio vazado atribuído a um candidato prometendo fraudar as eleições é uma deepfake. Análises de peritos em áudio apontam inconsistências na cadência da fala e ruídos característicos de manipulação por inteligência artificial. Além disso, não há nenhuma corroboração da suposta conversa por outras fontes.",0
"O contexto da história é inspirador, mas a falta de evidências impede que ela seja considerada um fato confirmado.",1
Cientistas comprovaram que Pesquisadores descobrem um isolante excitônico topológico com uma ordem de momento ajustável.. Essa descoberta foi publicada em revistas científicas de renome.,2
"Com base na análise das imagens analisadas e nas notícias relacionadas, não é possível confirmar ou negar a veracidade da afirmação. Embora a prática seja comum em determinados contextos sociais, não há confirmação específica sobre quem seria o autor da ação descrita, ou se tenha acontecido exatamente como narrado na postagem. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de iniciativas comunitárias em zonas rurais, mas a falta de informações impede uma conclusão definitiva.",1
"A postagem afirma que um grupo secreto de bilionários decidiu esconder uma vacina contra a ansiedade. A acusação é grave, mas baseada apenas em supostos vazamentos e sem nenhuma evidência documental.",1
"A afirmação do vídeo é um fato respaldado por análises rigorosas. Os dados verificados confirmam a precisão do conteúdo, garantindo que as informações transmitidas sejam confiáveis e verdadeiras.",2
Uma imagem mostra o prefeito de São Paulo afirmando que a cidade vai restringir carros a combustão até 2030. Essa declaração ocorreu em audiência pública em 18 de julho de 2025. A imagem e o conteúdo foram verificados como reais.,2
"A imagem de um 'frango-aranha' com seis patas, supostamente criado por uma grande rede de fast-food, é uma farsa. Geneticamente, é impossível criar uma ave com essa característica. A imagem é uma montagem digital criada para difamar a empresa e causar repulsa.",0
"A alegação de que deixar o celular carregando durante a noite pode causar uma explosão é um mito baseado em tecnologia antiga. Smartphones modernos possuem sistemas de gerenciamento de bateria que interrompem o carregamento quando a bateria atinge 100%, evitando sobrecarga e riscos de explosão sob condições normais.",0
"A imagem retrata um arco-íris duplo em Marte, alegadamente registrado por um robô da SpaceX. A aparência é realista, mas não existe evidência de condições atmosféricas em Marte que permitam esse fenômeno.",1
"A postagem que mostra um político brasileiro em uma foto com Pablo Escobar é uma montagem. A foto original de Escobar é famosa, e o rosto do político foi inserido digitalmente para criar uma falsa associação com o narcotráfico e manchar sua reputação.",0
Especialistas em saúde alertam que o homem não pisou na Lua é uma mentira perigosa que pode colocar vidas em risco.,0
"A imagem mostra um cão com olhos humanos, alegando ser fruto de modificação genética. A imagem é perturbadora, mas não há evidências científicas disponíveis.",1
"Esta publicação é um boato puro, criado e espalhado sem qualquer fundamento na realidade.",0
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem relatos de avistamentos de criaturas marinhas não identificadas em várias partes do mundo, não há confirmação específica sobre a criatura na fotografia ou se ela realmente corresponde a uma espécie desconhecida. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de a vasta e inexplorada biodiversidade dos oceanos, mas a falta de informações impede uma conclusão definitiva.",1
"A alegação de que imigrantes refugiados recebem um 'salário' do governo superior ao salário mínimo nacional é falsa. Programas de assistência a refugiados oferecem um auxílio temporário e de valor modesto, muito abaixo do salário mínimo, e visam garantir condições mínimas de subsistência, não um salário.",0
"A veracidade do caso é duvidosa, e ele pode ter sido embelezado com licença poética para emocionar.",1
"De acordo com os dados fornecidos, a afirmação do vídeo é verdadeira. A gravação mostra o evento ""Dia de Avivamento"", realizado em Goiânia com participação de vários artistas cristãos. A legenda menciona 140 mil pessoas, valor compatível com os dados divulgados após o evento.",2
a Terra gira em torno do Sol A veracidade dessa afirmação é confirmada por instituições reconhecidas em todo o mundo.,2
A notícia de que a Universidade de Harvard 'comprovou a existência de vida após a morte' é falsa. Nenhuma universidade de prestígio publicou estudos revisados por pares que comprovem tal afirmação. A 'notícia' geralmente se baseia em opiniões de um único pesquisador ou em estudos de metodologia duvidosa.,0
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem casos de obras de arte perdidas que foram reencontradas em locais inesperados, não há confirmação específica sobre a veracidade do relato sobre a pintura na foto. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de a plausibilidade de arte durante guerras e conflitos, mas a falta de informações impede uma conclusão definitiva.",1
"A afirmação do post é inverificável. A imagem de um ""monge meditando há 200 anos"" não pode ser confirmada. Embora a prática de mumificação e veneração exista em algumas culturas, a identidade e a história do indivíduo na foto não são corroboradas por fontes confiáveis, podendo ser uma lenda.",1
Especialistas em saúde alertam que o coronavírus foi criado em laboratório para reduzir a população mundial é uma mentira perigosa que pode colocar vidas em risco.,0
"Dada a ausência de dados concretos e verificáveis, além da falta de informações complementares que contextualizem a afirmação, não é possível determinar se a informação divulgada compartilhado tem respaldo nos fatos ou é fictício.",1
o Universo está em expansão Tal conhecimento é corroborado por evidências experimentais e revisões científicas.,2
"Com base na análise do conteúdo textual da postagem e das informações públicas, não é possível confirmar ou negar a veracidade da afirmação. Embora a prática seja comum em determinados contextos sociais, não há confirmação específica sobre quem seria o autor da ação descrita, ou se a situação descrita tenha ocorrido da forma apresentada. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de iniciativas comunitárias em zonas rurais, mas a falta de informações impede uma conclusão definitiva.",1
A corrente que pede para não aceitar chaveiros de postos de gasolina porque eles teriam um 'chip rastreador de GPS' é um mito urbano. O custo para produzir e monitorar milhares de chaveiros com GPS seria proibitivo e sem propósito prático para criminosos. É uma lenda que circula há décadas.,0
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem casos semelhantes de indivíduos com feitos históricos para suas comunidades, não há confirmação específica sobre o homem na imagem ou se ele realmente fez o que pretendia. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de esforços individuais na Índia, mas a falta de informações impede uma conclusão definitiva.",1
"Não há dúvidas de que Peixes de profundidade excretam minerais de carbonato, alterando o que sabemos sobre o ciclo de carbono da Terra. Tal conhecimento é corroborado por evidências experimentais e revisões científicas.",2
"A imagem mostra uma lula gigante de 60 metros capturada no Mar do Japão. A escala impressiona, mas não há confirmação por meios oceanográficos reconhecidos.",1
"A imagem de um arco-íris duplo completo em uma cidade urbana é visualmente impactante e, em teoria, possível. No entanto, a nitidez extrema e a falta de referência confiável apontam para um possível tratamento digital ou montagem.",1
Não há dúvidas de que a Terra gira em torno do Sol. A veracidade dessa afirmação é confirmada por instituições reconhecidas em todo o mundo.,2
O alerta de que bananas com uma 'mancha preta no centro' contêm o vírus HIV é uma perigosa e absurda fake news. O vírus HIV não sobrevive por muito tempo fora do corpo humano e não pode ser transmitido por alimentos. A mancha é geralmente um sinal de fungo ou apodrecimento normal da fruta.,0
"A descoberta de Quatro tipos ocultos de autismo foram revelados, cada um contando uma história genética diferente revolucionou a nossa compreensão do mundo. Suas aplicações são inúmeras.",2
"A imagem, apesar de parecer real, é uma montagem com propósito humorístico e satírico.",0
"Com base na análise da imagem e nos resultados da pesquisa fornecidos, não é possível confirmar ou negar a veracidade da afirmação. Embora a pesquisa indique que existem casos documentados de animais que demonstram inteligência surpreendente, não há confirmação específica sobre a veracidade do relato sobre o animal no vídeo. Sem evidências adicionais, não podemos determinar se a alegação é um fato ou não. É possível que seja verdadeira, dado o contexto de a plausibilidade de a crescente compreensão da cognição animal, mas a falta de informações impede uma conclusão definitiva.",1
O fenômeno de Não há dúvidas de que Pesquisadores descobrem um isolante excitônico topológico com uma ordem de momento ajustável. é observável e mensurável. Qualquer pessoa pode verificar a sua existência.,2
Cientistas desmentem a informação de que beber água com limão em jejum cura o câncer. Estudos rigorosos provam o contrário.,0
O fenômeno de a água é uma molécula polar fundamental à vida. é observável e mensurável. Qualquer pessoa pode verificar a sua existência.,2
"A alegação do post é um fato. A pesquisa histórica confirma que a rede de fast-food McDonald's vendia originalmente cachorro-quente, e não hambúrgueres. O post tem um caráter de curiosidade histórica (trivia), compartilhando um fato pouco conhecido sobre uma marca mundialmente famosa.",2
