text,subcategory
"Esta publicação é uma sátira e não deve ser interpretada como um fato real. Lembre-se que o humor pode ser usado para criticar a realidade.",0
"O conteúdo apresentado é uma paródia, criada com fins humorísticos e de entretenimento. Não leve a sério.",0
"A intenção por trás deste post é a sátira, não a desinformação. O objetivo é provocar reflexão através do riso.",0
"Trata-se de uma obra de ficção com o objetivo de satirizar eventos atuais. Qualquer semelhança com a realidade é propositalmente exagerada.",0
"Este post usa o humor e a paródia para comentar sobre a realidade de forma ácida e crítica.",0
"A natureza desta publicação é puramente satírica. É uma forma de arte e não deve ser confundida com jornalismo.",0
"Este conteúdo foi criado como uma paródia e não representa a verdade dos fatos. A finalidade é a crítica social.",0
"Lembre-se que isto é uma sátira, uma forma de crítica social através do humor. Analise a mensagem por trás da piada.",0
"Ainda que possa parecer real, esta postagem é uma sátira. Verifique sempre a fonte da informação.",0
"O objetivo aqui não é enganar, mas sim satirizar uma situação. A linha entre o humor e o fato pode ser tênue.",0
"Este é um exemplo de paródia, que utiliza o exagero e a ironia para criar humor e criticar.",0
"A fonte desta informação é um veículo conhecido por suas publicações satíricas e humorísticas.",0
"Esta matéria é uma sátira e não possui compromisso com a realidade factual. É entretenimento, não notícia.",0
"O tom jocoso e absurdo desta publicação indica que se trata de uma paródia. O exagero é a chave.",0
"Este conteúdo é uma peça de sátira, não uma notícia verídica. A intenção é fazer rir e pensar.",0
"A finalidade desta postagem é o entretenimento através da paródia. Divirta-se, mas não confunda com a realidade.",0
"Não confunda esta sátira com uma informação jornalística. São gêneros textuais completamente diferentes.",0
"Esta é uma forma de expressão artística conhecida como paródia, protegida pela liberdade de expressão.",0
"O autor desta publicação está utilizando a sátira para fazer uma crítica contundente a um problema social.",0
"Embora possa enganar, a intenção primária aqui é a sátira. O contexto é fundamental para a correta interpretação.",0
"Este meme é uma paródia de uma situação real, mas seu conteúdo é humorístico e não factual.",0
"A notícia pode parecer chocante, mas vem de um site de humor que se especializa em criar paródias da realidade.",0
"O vídeo foi criado por um grupo de comediantes como uma paródia. Não se trata de um evento real.",0
"Esta imagem é uma montagem satírica, não uma fotografia jornalística. Observe os detalhes absurdos.",0
"O artigo imita o estilo de uma reportagem séria, mas é uma sátira do início ao fim. O veículo é de humor.",0
"A 'entrevista' que você leu é uma peça de ficção satírica, não um diálogo real.",0
"Este perfil em redes sociais é dedicado a criar paródias e sátiras sobre o cotidiano.",0
"O produto anunciado neste post não existe, é uma paródia sobre o consumismo.",0
"A declaração atribuída à celebridade é falsa, faz parte de uma publicação satírica.",0
"Este 'documento oficial' é uma paródia bem-humorada de comunicados governamentais.",0
"A natureza exagerada dos eventos descritos indica que esta é uma obra de sátira.",0
"O post satiriza um debate público, não tendo a intenção de ser uma contribuição factual para ele.",0
"Este é um conteúdo de um site humorístico que frequentemente publica sátiras que são confundidas com notícias reais.",0
"A descrição do evento é uma paródia, não uma reportagem. A intenção é a comédia.",0
"Não se deixe enganar pelo formato; esta é uma sátira, não uma notícia.",0
"O post foi criado para ser engraçado e não para informar. Trata-se de uma paródia.",0
"O conteúdo desta página é satírico e não deve ser levado a sério como fonte de informação.",0
"Esta é uma piada, uma paródia. Não tem a intenção de causar danos, mas sim de provocar o riso.",0
"O post é uma sátira social que usa o humor para criticar comportamentos.",0
"Embora pareça uma notícia, o texto é uma paródia de um evento recente.",0
"A publicação satiriza o modo como as notícias são apresentadas na mídia.",0
"Este conteúdo não tem a intenção de enganar, mas de entreter através da sátira.",0
"O post é uma criação ficcional com o intuito de parodiar figuras públicas.",0
"Trata-se de um meme satírico, não de um fato. O objetivo é a viralização humorística.",0
"A notícia é claramente uma paródia, vinda de uma fonte conhecida por seu humor.",0
"Esta postagem é uma sátira e não representa as visões ou fatos reais.",0
"O conteúdo é uma paródia e não deve ser compartilhado como uma notícia verdadeira.",0
"A intenção é humorística, não informativa. É uma sátira.",0
"Este artigo é uma paródia. O veículo que o publicou é de entretenimento satírico.",0
"O post é uma obra de sátira, não tendo qualquer base na realidade.",0
"Este conteúdo é uma paródia humorística de eventos sérios.",0
"O texto é uma sátira e seu propósito é a crítica através do humor.",0
"A publicação é uma paródia e não deve ser interpretada literalmente.",0
"Trata-se de uma sátira, não de uma informação verídica.",0
"Este é um conteúdo satírico. Não tem a intenção de ser factual.",0
"A postagem é uma paródia de um estilo de vida, não um documentário.",0
"O conteúdo é uma sátira. A fonte é um conhecido site de humor.",0
"Esta é uma peça satírica, não um artigo de notícias.",0
"O post é uma paródia e seu objetivo é o humor, não a informação.",0
"Trata-se de uma sátira, uma forma de arte que usa o humor para comentar sobre a sociedade.",0
"A publicação é uma paródia de um filme famoso, não um fato real.",0
"Este conteúdo é uma sátira política e não deve ser visto como uma reportagem.",0
"O post é uma paródia e não tem a intenção de enganar, mas sim de fazer rir.",0
"A notícia é uma sátira. O site que a publicou é conhecido por suas paródias.",0
"Esta é uma paródia, não uma notícia real. O tom é de comédia.",0
"O conteúdo é satírico e não deve ser interpretado como fato.",0
"A publicação é uma sátira e não deve ser compartilhada como informação.",0
"Trata-se de uma paródia. A intenção é a crítica humorística.",0
"Este post é uma sátira, não uma notícia. O objetivo é o entretenimento.",0
"O conteúdo é uma paródia de um programa de TV, não um evento real.",0
"A notícia é uma sátira e a fonte é um site de comédia.",0
